PASS
ok  	github.com/blinklabs-io/plutigo/builtin	0.016s
goos: linux
goarch: arm64
pkg: github.com/blinklabs-io/plutigo/cek
BenchmarkMachineLambdaChain/depth=32-128        	  602542	      9841 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineLambdaChain/depth=32-128        	  612628	      9794 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineLambdaChain/depth=32-128        	  604561	      9799 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=7-128          	 2652681	      2289 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=7-128          	 2559025	      2283 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=7-128          	 2831607	      2192 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=7-128          	 2616574	      2231 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=7-128          	 2534798	      2274 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=7-128          	 2597734	      2245 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=31-128         	  823981	      7160 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=31-128         	  827214	      7059 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=31-128         	  829546	      7116 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=31-128         	  818631	      7265 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=31-128         	  868161	      6942 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=31-128         	  828054	      7114 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=127-128        	  184149	     27773 ns/op	      89 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=127-128        	  184189	     27731 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=127-128        	  184370	     27700 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=127-128        	  183927	     27733 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=127-128        	  184473	     27725 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=127-128        	  185582	     27689 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=255-128        	   99655	     56002 ns/op	      90 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=255-128        	   99480	     55955 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=255-128        	   98764	     56191 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=255-128        	   98679	     56271 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=255-128        	   97112	     55821 ns/op	      88 B/op	       4 allocs/op
BenchmarkMachineBuiltinHeavy/ops=255-128        	   99414	     56017 ns/op	      88 B/op	       4 allocs/op
BenchmarkDischarge/depth=4-128                  	  611721	      9419 ns/op	    1696 B/op	      67 allocs/op
BenchmarkDischarge/depth=4-128                  	  624907	      9338 ns/op	    1696 B/op	      67 allocs/op
BenchmarkDischarge/depth=4-128                  	  680542	      9469 ns/op	    1696 B/op	      67 allocs/op
BenchmarkDischarge/depth=4-128                  	  615576	      9338 ns/op	    1696 B/op	      67 allocs/op
BenchmarkDischarge/depth=4-128                  	  679020	      9271 ns/op	    1696 B/op	      67 allocs/op
BenchmarkDischarge/depth=4-128                  	  617449	      9685 ns/op	    1696 B/op	      67 allocs/op
BenchmarkDischarge/depth=8-128                  	  341732	     16892 ns/op	    2912 B/op	     115 allocs/op
BenchmarkDischarge/depth=8-128                  	  365540	     16774 ns/op	    2912 B/op	     115 allocs/op
BenchmarkDischarge/depth=8-128                  	  374299	     16562 ns/op	    2912 B/op	     115 allocs/op
BenchmarkDischarge/depth=8-128                  	  345789	     16429 ns/op	    2912 B/op	     115 allocs/op
BenchmarkDischarge/depth=8-128                  	  341107	     17046 ns/op	    2912 B/op	     115 allocs/op
BenchmarkDischarge/depth=8-128                  	  339882	     16711 ns/op	    2912 B/op	     115 allocs/op
BenchmarkDischarge/depth=16-128                 	  198087	     31059 ns/op	    5344 B/op	     211 allocs/op
BenchmarkDischarge/depth=16-128                 	  206091	     31633 ns/op	    5344 B/op	     211 allocs/op
BenchmarkDischarge/depth=16-128                 	  200007	     31364 ns/op	    5344 B/op	     211 allocs/op
BenchmarkDischarge/depth=16-128                 	  197289	     30683 ns/op	    5344 B/op	     211 allocs/op
BenchmarkDischarge/depth=16-128                 	  183352	     32264 ns/op	    5344 B/op	     211 allocs/op
BenchmarkDischarge/depth=16-128                 	  186154	     31607 ns/op	    5344 B/op	     211 allocs/op
BenchmarkDischarge/depth=32-128                 	   95478	     61317 ns/op	   10208 B/op	     403 allocs/op
BenchmarkDischarge/depth=32-128                 	   98160	     61845 ns/op	   10208 B/op	     403 allocs/op
BenchmarkDischarge/depth=32-128                 	  101005	     62553 ns/op	   10208 B/op	     403 allocs/op
BenchmarkDischarge/depth=32-128                 	   95470	     63197 ns/op	   10208 B/op	     403 allocs/op
BenchmarkDischarge/depth=32-128                 	  103161	     61138 ns/op	   10208 B/op	     403 allocs/op
BenchmarkDischarge/depth=32-128                 	   92875	     62826 ns/op	   10208 B/op	     403 allocs/op
BenchmarkBuiltinIntegerOps/AddSmall-128         	111725760	        53.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/AddSmall-128         	111664125	        53.23 ns/op	       0 B/op	       0 allocs/op
